t,x,y,x_ref,y_ref,error
45.85,-2.3517074688064525,2.6263700674506656,2.5,0.0,5.516963394302443
45.852000000000004,-2.351341956594362,2.626595778335635,2.5,0.0,5.516749419955867
45.854,-2.350989211331094,2.6268073968088843,2.5,0.0,5.516539987019086
45.856,-2.3506494392617165,2.627004755187461,2.5,0.0,5.516335193440255
45.858000000000004,-2.350322241715203,2.627187605659626,2.5,0.0,5.516134567231727
45.86,-2.350004678876439,2.627358134417708,2.5,0.0,5.515936561601688
45.862,-2.34969339057595,2.6275185308923397,2.5,0.0,5.5157392625811
45.864000000000004,-2.3493851580980722,2.627671005882996,2.5,0.0,5.515540891584434
45.866,-2.3490781311555886,2.6278175597941353,2.5,0.0,5.515340773661567
45.868,-2.3487711226848322,2.627959814980042,2.5,0.0,5.515138637362823
45.87,-2.3484632886619723,2.6280986376357225,2.5,0.0,5.5149341528839315
45.872,-2.348154249359972,2.6282344714492716,2.5,0.0,5.514727197468736
45.874,-2.347843760616824,2.6283675350975675,2.5,0.0,5.514517660403884
45.876,-2.34753151582311,2.6284979546104896,2.5,0.0,5.514305331978801
45.878,-2.3472173274436114,2.628625768137708,2.5,0.0,5.5140900653133285
45.88,-2.3469010870488787,2.628750955688418,2.5,0.0,5.51387175537012
45.882,-2.3465827383379456,2.62887345967214,2.5,0.0,5.51365032501372
45.884,-2.3462622603584866,2.628993198733683,2.5,0.0,5.513425716844556
45.886,-2.3459396568223374,2.629110076836583,2.5,0.0,5.513197888130541
45.888,-2.3456149491586027,2.629223989188236,2.5,0.0,5.512966807521358
45.89,-2.345288171837874,2.629334826107002,2.5,0.0,5.512732452779759
45.892,-2.344959369102176,2.629442475563091,2.5,0.0,5.512494809117403
45.894,-2.34462859258094,2.6295468248666043,2.5,0.0,5.512253867903657
45.896,-2.3442958994794276,2.629647761805203,2.5,0.0,5.5120096256157165
45.898,-2.343961351148294,2.629745175423675,2.5,0.0,5.511762082953373
45.9,-2.343625011916342,2.6298389565675864,2.5,0.0,5.511511244072906
45.902,-2.343286948193128,2.6299289982987593,2.5,0.0,5.511257115997277
45.904,-2.3429472312785085,2.630015197542744,2.5,0.0,5.5109997118720635
45.906,-2.3426059364748335,2.6300974559242216,2.5,0.0,5.510739050584809
45.908,-2.34226313889963,2.6301756784509767,2.5,0.0,5.510475152458375
45.910000000000004,-2.3419189116417796,2.630249773259248,2.5,0.0,5.510208037510439
45.912,-2.341573324909956,2.6303196515738234,2.5,0.0,5.509937724687557
45.914,-2.3412264455955616,2.6303852276966557,2.5,0.0,5.509664231477143
45.916000000000004,-2.340878337022521,2.630446418984857,2.5,0.0,5.509387573678601
45.918,-2.340529058789979,2.630503145819442,2.5,0.0,5.509107765251664
45.92,-2.340178666668319,2.6305553315705543,2.5,0.0,5.508824818209903
45.922000000000004,-2.3398272125307513,2.6306029025628006,2.5,0.0,5.5085387425455234
45.924,-2.3394747443117856,2.6306457880418965,2.5,0.0,5.508249546178368
45.926,-2.339121305987751,2.6306839201424497,2.5,0.0,5.5079572349248185
45.928000000000004,-2.338766938053893,2.6307172309727997,2.5,0.0,5.507661811525889
45.93,-2.338411690473054,2.630745574525078,2.5,0.0,5.507363249722102
45.932,-2.338056483637827,2.6307686461120166,2.5,0.0,5.507062212126904
45.934,-2.3377026135084527,2.6307861574999887,2.5,0.0,5.506759699064421
45.936,-2.337351255820873,2.6307979823647676,2.5,0.0,5.5064566824961325
45.938,-2.3370034540942934,2.630804151686613,2.5,0.0,5.5061540933260895
45.94,-2.336660215693051,2.6308048258312486,2.5,0.0,5.505852892484954
45.942,-2.336322485520414,2.6308002213508423,2.5,0.0,5.505554012868278
45.944,-2.335991161591791,2.6307902913792636,2.5,0.0,5.505258220302596
45.946,-2.335667195666515,2.6307753688107436,2.5,0.0,5.504966509288368
45.948,-2.3353513241512056,2.6307558778391997,2.5,0.0,5.5046797288086
45.95,-2.33504424238415,2.6307322614570854,2.5,0.0,5.504398700792234
45.952,-2.3347466764869624,2.6307049422758046,2.5,0.0,5.504124264505306
45.954,-2.334459344584476,2.630674248330181,2.5,0.0,5.503857207020157
45.956,-2.3341829361879776,2.6306405356709726,2.5,0.0,5.503598303696071
45.958,-2.3339179806355275,2.630604185297812,2.5,0.0,5.50334820116062
