t,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos
0.216,0.00648,0.0,-0.0077525016758132935,0.00035910180787712134,0.3182733687444021,0.014232501675813292,-0.00035910180787712134,0.014237031223553905
0.218,0.00654,0.0,-0.007850880845483297,0.00035422964299972943,0.318084980275674,0.014390880845483296,-0.00035422964299972943,0.014395239843395377
0.22,0.0066,0.0,-0.007949523306231417,0.0003487349667295484,0.31789744880625437,0.014549523306231417,-0.0003487349667295484,0.014553702089694946
0.222,0.00666,0.0,-0.008048604679791342,0.0003423858702892641,0.31771016679587955,0.014708604679791341,-0.0003423858702892641,0.01471258915726778
0.224,0.00672,0.0,-0.008148264103535603,0.0003351157721673408,0.3175231606103885,0.014868264103535603,-0.0003351157721673408,0.014872040210853407
0.226,0.00678,0.0,-0.008248622426176846,0.0003268653138263228,0.31733648597692693,0.015028622426176846,-0.0003268653138263228,0.01503217658763921
0.228,0.00684,0.0,-0.00834978184076525,0.0003175793067938112,0.3171502122656345,0.015189781840765249,-0.0003175793067938112,0.01519310136167548
0.23,0.0069,0.0,-0.008451827016740422,0.00030720521151479164,0.3169644139954949,0.015351827016740422,-0.00030720521151479164,0.015354900448843781
0.232,0.00696,0.0,-0.008554643295760622,0.0002959474581190183,0.3167800108442236,0.015514643295760622,-0.0002959474581190183,0.015517465691686163
0.234,0.00702,0.0,-0.008658148482405151,0.00028383090829596285,0.31659721199577795,0.015678148482405153,-0.00028383090829596285,0.015680717452363175
0.23600000000000002,0.00708,0.0,-0.008762269672827123,0.00027088339064486566,0.3164162001328238,0.015842269672827123,-0.00027088339064486566,0.015844585390533426
0.23800000000000002,0.0071400000000000005,0.0,-0.008866944842727344,0.0002571337851699462,0.31623713158960753,0.016006944842727345,-0.0002571337851699462,0.016009009993800095
0.24,0.0072,0.0,-0.008972292635935426,0.00024231153730115235,0.31605917791777305,0.016172292635935427,-0.00024231153730115235,0.016174107826505933
0.242,0.007259999999999999,0.0,-0.009078213419760724,0.00022662459054155598,0.3158831830308475,0.016338213419760723,-0.00022662459054155598,0.016339785079819365
0.244,0.007319999999999999,0.0,-0.00918482810178461,0.0002098204841741479,0.315708372409368,0.016504828101784608,-0.0002098204841741479,0.016506161737516022
0.246,0.007379999999999999,0.0,-0.009292031323724043,0.00019211968573591077,0.31553562103288285,0.016672031323724044,-0.00019211968573591077,0.016673138229885906
0.248,0.0074399999999999996,0.0,-0.00939976358055958,0.00017357336993381513,0.31536511870731954,0.01683976358055958,-0.00017357336993381513,0.01684065809770779
0.25,0.0075,0.0,-0.009508141117078756,0.00015389922549952109,0.31519596536150013,0.017008141117078754,-0.00015389922549952109,0.017008837386196456
0.252,0.00756,0.0,-0.00961706299649722,0.00013334292921187598,0.3150290811222911,0.01717706299649722,-0.00013334292921187598,0.01717758054914617
0.254,0.00762,0.0,-0.009726643737528025,0.0001116277043105212,0.31486357814160837,0.017346643737528027,-0.0001116277043105212,0.01734700290255034
0.256,0.00768,0.0,-0.009836776895663328,8.90156469645763e-05,0.31470041825313744,0.01751677689566333,-8.90156469645763e-05,0.017517003071240503
0.258,0.00774,0.0,-0.009947399251349642,6.556978177922742e-05,0.31453977780298586,0.017687399251349642,-6.556978177922742e-05,0.01768752078932846
0.26,0.0078,0.0,-0.010058452228278883,4.134133733283743e-05,0.3143817689395327,0.017858452228278882,-4.134133733283743e-05,0.017858500079678905
0.262,0.00786,0.0,-0.010169883076836568,1.6373416565890988e-05,0.31422646163083245,0.01802988307683657,-1.6373416565890988e-05,0.018029890511402663
0.264,0.00792,0.0,-0.010281804640354091,-9.687475559145371e-06,0.31407268361981006,0.01820180464035409,9.687475559145371e-06,0.018201807218317594
0.266,0.007980000000000001,0.0,-0.010394301762565741,-3.690749415003825e-05,0.3139203176668951,0.018374301762565742,3.690749415003825e-05,0.01837433882960013
0.268,0.00804,0.0,-0.010507275163024464,-6.497929468645104e-05,0.31377043880785754,0.018547275163024464,6.497929468645104e-05,0.01854738898825606
0.27,0.0081,0.0,-0.010620663817204529,-9.382470166881451e-05,0.31362322999148246,0.018720663817204528,9.382470166881451e-05,0.018720898932247727
0.272,0.00816,0.0,-0.010734409243960536,-0.00012337970592439274,0.31347880020501845,0.018894409243960537,0.00012337970592439274,0.01889481207183854
0.274,0.00822,0.0,-0.010848457518798467,-0.00015359014140722826,0.31333721021086586,0.019068457518798466,0.00015359014140722826,0.019069076067753238
0.276,0.008280000000000001,0.0,-0.010962759663201104,-0.00018440743374717876,0.3131984918175725,0.019242759663201103,0.00018440743374717876,0.019243643250625404
0.278,0.00834,0.0,-0.01107727165160609,-0.00021578702169224696,0.31306265831677227,0.01941727165160609,0.00021578702169224696,0.019418470651186626
0.28,0.008400000000000001,0.0,-0.011191954366746165,-0.0002476883558576703,0.3129297091178683,0.019591954366746166,0.0002476883558576703,0.019593519985706798
0.28200000000000003,0.00846,0.0,-0.011306924974501536,-0.00028056280007281414,0.3127981519592303,0.019766924974501537,0.00028056280007281414,0.01976891596502846
0.28400000000000003,0.00852,0.0,-0.011422116555692452,-0.0003140228299771692,0.31266925499378406,0.019942116555692453,0.0003140228299771692,0.01994458881648278
0.28600000000000003,0.00858,0.0,-0.011537489182236694,-0.0003479977355916048,0.31254312330788525,0.020117489182236693,0.0003479977355916048,0.020120498836295964
0.28800000000000003,0.00864,0.0,-0.011653003179118765,-0.00038242796529218404,0.31241981130948787,0.020293003179118765,0.00038242796529218404,0.02029660634629252
0.29,0.0087,0.0,-0.011768620696669087,-0.00041726135259871654,0.3122993407721088,0.020468620696669087,0.00041726135259871654,0.02047287327808392
0.292,0.008759999999999999,0.0,-0.011884306417037764,-0.00045245054371349677,0.3121817127619897,0.020644306417037763,0.00045245054371349677,0.02064926388361225
0.294,0.00882,0.0,-0.012000027747027502,-0.0004879512411375669,0.3120669154566442,0.0208200277470275,0.0004879512411375669,0.02082574492787047
0.296,0.008879999999999999,0.0,-0.012115754721806876,-0.0005237210028855244,0.31195492921961676,0.020995754721806877,0.0005237210028855244,0.021002285590552738
0.298,0.00894,0.0,-0.012231459759885656,-0.0005597184198824496,0.31184572985715925,0.021171459759885658,0.0005597184198824496,0.021178857218320666
0.3,0.009,0.0,-0.012347117354800216,-0.0005959025502561405,0.31173929068231027,0.021347117354800216,0.0005959025502561405,0.02135543301384953
0.302,0.009059999999999999,0.0,-0.012462703753519848,-0.000632232527310092,0.3116355838070791,0.021522703753519848,0.000632232527310092,0.02153198771201503
0.304,0.00912,0.0,-0.012578185354658543,-0.0006686698971517059,0.31153457521851363,0.02169818535465854,0.0006686698971517059,0.021708486062286224
0.306,0.009179999999999999,0.0,-0.012693511098421912,-0.0007051792573859597,0.31143622473599014,0.02187351109842191,0.0007051792573859597,0.021884875269414582
0.308,0.00924,0.0,-0.012808630887303983,-0.0007417106512551989,0.3113404693395207,0.022048630887303983,0.0007417106512551989,0.022061102844027555
0.31,0.0093,0.0,-0.012923493269529783,-0.0007781939645794885,0.3112472033896567,0.022223493269529784,0.0007781939645794885,0.02223711399771435
0.312,0.00936,0.0,-0.013038049219814656,-0.0008145586206947724,0.3111563364729899,0.022398049219814656,0.0008145586206947724,0.022412856011668574
0.314,0.00942,0.0,-0.01315225183033736,-0.000850733448173622,0.3110677908853496,0.02257225183033736,0.000850733448173622,0.02258827793551358
0.316,0.00948,0.0,-0.013266056053434108,-0.0008866465697004078,0.3109814996291442,0.02274605605343411,0.0008866465697004078,0.022763330339067873
0.318,0.00954,0.0,-0.013379420317135534,-0.0009222244986433386,0.31089740150644163,0.022919420317135536,0.0009222244986433386,0.022937966904227218
0.32,0.0096,0.0,-0.013492351219581408,-0.0009573814102027976,0.3108154604097521,0.023092351219581406,0.0009573814102027976,0.02311218864610413
0.322,0.00966,0.0,-0.01360486873129088,-0.0009920306832926814,0.31073565680346926,0.02326486873129088,0.0009920306832926814,0.023286009575725727
0.324,0.00972,0.0,-0.01371699025759356,-0.0010260878949934489,0.3106579724440008,0.02343699025759356,0.0010260878949934489,0.023459440929032974
0.326,0.00978,0.0,-0.01382872208739685,-0.0010594702967108868,0.3105823915844507,0.023608722087396852,0.0010594702967108868,0.02363248264380094
0.328,0.00984,0.0,-0.013940060823157454,-0.0010921174567600854,0.31050896371057485,0.023780060823157454,0.0010921174567600854,0.02380512577770653
0.33,0.0099,0.0,-0.01405098734607401,-0.0011239604805685529,0.31043771777050405,0.02395098734607401,0.0011239604805685529,0.023977345182769446
0.332,0.00996,0.0,-0.014161476283997363,-0.0011549251372165684,0.3103686740575129,0.024121476283997363,0.0011549251372165684,0.024149109097273587
0.334,0.01002,0.0,-0.01427148196145472,-0.0011849379333034034,0.3103018844084028,0.024291481961454718,0.0011849379333034034,0.02432036541233419
0.336,0.01008,0.0,-0.014380965838353988,-0.0012139197315298644,0.310237414019025,0.024460965838353988,0.0012139197315298644,0.02449106879782339
0.338,0.01014,0.0,-0.014489902652739669,-0.001241785941275675,0.3101753269933845,0.02462990265273967,0.001241785941275675,0.02466118685317847
0.34,0.0102,0.0,-0.014598277203301157,-0.0012684472135267423,0.31011568689917757,0.024798277203301158,0.0012684472135267423,0.02483069694119095
0.342,0.01026,0.0,-0.01470608802887996,-0.0012938226151967195,0.31005851637962756,0.02496608802887996,0.0012938226151967195,0.024999590565154817
0.34400000000000003,0.010320000000000001,0.0,-0.014813353209558114,-0.0013178505612504723,0.3100037685015984,0.025133353209558115,0.0013178505612504723,0.025167879800614777
0.34600000000000003,0.01038,0.0,-0.01492009012170084,-0.0013404668753171966,0.30995139963547297,0.02530009012170084,0.0013404668753171966,0.025335576007069725
0.34800000000000003,0.010440000000000001,0.0,-0.015026315711453691,-0.0013616060401863005,0.3099013682931374,0.02546631571145369,0.0013616060401863005,0.025502690189940842
0.35000000000000003,0.0105,0.0,-0.015132046600775297,-0.0013812033375990764,0.3098536297884921,0.025632046600775296,0.0013812033375990764,0.025669233249244344
0.352,0.010559999999999998,0.0,-0.015237299228528184,-0.0013991954006778611,0.30980813604552315,0.02579729922852818,0.0013991954006778611,0.025835216183641638
0.354,0.01062,0.0,-0.015342091783239541,-0.001415483002167645,0.3097649679612855,0.025962091783239542,0.001415483002167645,0.026000650028235442
0.356,0.010679999999999999,0.0,-0.015446474483552295,-0.0014299695323796474,0.30972425532002906,0.026126474483552292,0.0014299695323796474,0.026165578185915233
0.358,0.01074,0.0,-0.015550496269132592,-0.001442558339201054,0.30968611118160516,0.02629049626913259,0.001442558339201054,0.02633004308084727
0.36,0.010799999999999999,0.0,-0.01565420446919829,-0.0014531525416751653,0.30965063332415194,0.026454204469198286,0.0014531525416751653,0.026494085876050292
0.362,0.01086,0.0,-0.015757645130865455,-0.001461655082781144,0.3096179060725338,0.026617645130865453,0.001461655082781144,0.026657746864536494
0.364,0.01092,0.0,-0.015860863279794326,-0.0014679687781392727,0.309588001802734,0.026780863279794325,0.0014679687781392727,0.026821065794345827
0.366,0.01098,0.0,-0.015963895426401357,-0.0014731892246432259,0.30956424052232046,0.026943895426401358,0.0014731892246432259,0.026984139549751384
0.368,0.01104,0.0,-0.016066617361086194,-0.0014775093525882202,0.30954664765442524,0.027106617361086195,0.0014775093525882202,0.027146855041557304
